cbsa10,cbsaname10,responses,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,total_nz,total_rz,maxden5,maxden4,maxden3,maxden2,maxden1,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,zri_median,zri_range,zri_median_up,zri_range_up,zri_median_st,zri_range_st,zri_median_up_st,zri_range_up_st,cc_zri,noncc_zri_max,zri_diff,zri_abs_diff,zri_full,zri_full_st
21660,"Eugene-Springfield, OR Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,1,0,0,0,0,1,35,35,NA,NA,2,2,1.665593925,0,1.559682112,0.105911813,-0.506116582,-1.146343219,-0.097106449,-1.138207074,NA,NA,NA,NA,NA,NA
21780,"Evansville, IN-KY Metropolitan Statistical Area",4,0,0,0,0,0,0,1,0.25,0.25,0.75,0.25,0,0,2,2.5,0.5,0,0.5,0,0,0,45,37.5,1.9375,2.5,2,3.75,1.276757393,0.970572299,0.685514707,0.41770602,-1.017787918,-0.357194988,-1.24531594,-0.801954522,0.695021626,1.665593925,0.970572299,0.970572299,2.247329692,0.004726285
22020,"Fargo, ND-MN Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,1,0,0,0,0,0,35,35,NA,NA,1,1,2.99781227,0,2.085659864,0.912152406,1.246954138,-1.146343219,0.593759675,-0.268721846,2.99781227,NA,NA,NA,NA,NA
22140,"Farmington, NM Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,0,0,0,0,1,28,35,10.5,10.5,2,2,3.317608584,0,2.992687676,0.324920909,1.667775212,-1.146343219,1.785130956,-0.902018056,3.317608584,NA,NA,NA,NA,NA
22180,"Fayetteville, NC Metropolitan Statistical Area",2,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2.5,0.5,0.5,0,0,0,0.5,30,25,3,2,0.95,0.7,1.570855258,0.500707466,1.683391452,0.362889928,-0.630783521,-0.739230413,0.06538444,-0.861070601,1.821208991,1.320501525,-0.500707466,0.500707466,1.070147791,-0.817685535
22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",5,0,0,0,0,0,0,1,0.8,0,0,0,0.4,0.6,1.4,2.6,1,0,0,0,0,0.6,41.7,43,2.25,2,2.05,1.6,2.605611177,2.010686325,2.210953741,1.516531713,0.730855366,0.488495894,0.758331836,0.383067315,2.99781227,2.601971115,-0.395841155,0.395841155,2.209770022,-0.021513938
22380,"Flagstaff, AZ Metropolitan Statistical Area",2,0,0,0,0,0,0,1,1,1,0,0,0,1,2.5,2.5,0,1,0,0,0,0.5,28.5,28.5,5.5,5.5,1.75,1.5,3.248244295,0.240226089,2.656268613,0.114480246,1.576498504,-0.951021352,1.343248134,-1.1289665,NA,NA,NA,NA,NA,NA
22420,"Flint, MI Metropolitan Statistical Area",4,0,0,0,0,0,0,1,1,0,0.25,0,0.5,0.25,2,2.75,0.25,0.5,0.25,0,0,0.75,28.125,33.25,5.625,3.25,2.25,2.5,2.182711244,0.486418479,1.691807887,0.082671243,0.174359883,-0.750848435,0.076439336,-1.163270724,NA,NA,NA,NA,NA,NA
22500,"Florence, SC Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,1,0,0,1,45,45,NA,NA,2,2,0.975409124,0,1.133342725,0.157933601,-1.414333144,-1.146343219,-0.657098651,-1.082104496,NA,NA,NA,NA,NA,NA
22540,"Fond du Lac, WI Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,1,0,0,0,0,0,12,12,1,1,1.5,1,1.821208991,0,1.112793856,0.708415136,-0.301342179,-1.146343219,-0.684089371,-0.488441057,NA,NA,NA,NA,NA,NA
