GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,zri_st,add_index,zri_up,zri_up_st,wt_all_2019,st_wt_all_2019,wt_msa_2019,st_wt_msa_2019,wt_lmsa_2019,st_wt_lmsa_2019,timestamp
4205256,PA,Bellefonte,Borough,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,55,60,NA,NA,2,2,0.5,1,0,0,0,0,0,1,1,2,2,1,0,1,NA,NA,55,2,0.5,1.635407102,0.164805906,1.665593925,-0.316859228,8,1.572660063,0.022823732,4.451250619,0.28144258,4.421346392,0.50122691,NA,NA,8/12/2020 15:04
4206064,PA,BethelPark,Municipality,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,3,4,2,1,0.375,0,1,0,0,0,0,1,1,2,3,2,0,0,42,56,35,2,0.375,0.049086297,0.164805906,1.476116591,-0.518136996,9,0.807472352,-0.850512779,8.526925393,0.539138342,6.349374472,0.719798239,1.361608261,0.131672008,12/8/2021 9:31
4206088,PA,Bethlehem,City,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,20,2.5,1,2,1,0.4375,1,0,0,0,0,0,1,4,2,3,1,1,0,35,14,35,2,0.4375,0.049086297,0.164805906,3.473223651,1.603347621,12,2.520211962,1.10429911,3.155544747,0.199518007,3.358479111,0.380734726,1.743966516,0.228182535,8/12/2020 15:25
4206504,PA,Birdsboro,Borough,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,25,35,2.25,2.5,2,1,1,1,0,0,0,0,0,1,1,2,3,1,1,0,31.5,35,25,2,1,-0.744074106,0.164805906,2.296620371,0.353466828,9,1.685836334,0.151995918,19.7802837,1.250662913,14.6170259,1.657062367,NA,NA,8/12/2020 15:33
4206904,PA,Blairsville,Borough,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,24.5,35,2,2,1,1,0.25,0,1,0,0,0,0,0,1,2,2,2,0,0,28,28,24.5,1,0.25,-0.783732126,-0.882429958,0.804928735,-1.231125668,7,0.442283247,-1.267316361,10.33708012,0.65359036,NA,NA,NA,NA,3/9/2021 13:17
4206928,PA,Blakely,Borough,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,35,35,5,5,2,2,0.333333333,1,0,0,0,0,0,1,3,2,3,1,0,1,70,70,35,2,0.333333333,0.049086297,0.164805906,2.605611177,0.68170123,11,2.183086862,0.719525996,15.85662707,1.002578917,11.43773542,1.296641401,9.882707931,0.716138256,1/4/2022 23:36
4208040,PA,Bradford,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,2,4,0,77.5,75,3,3,1,1,0.25,1,0,0,0,0,0,0,1,2,4,1,0,0,42,42,77.5,1,0.25,3.420018007,-0.882429958,1.461251268,-0.533928114,8,0.669315343,-1.008196389,9.785531332,0.618717169,NA,NA,NA,NA,8/12/2020 16:02
4208680,PA,Brighton,Township,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,30,30,2,1,2,2,0,0,0,0,1,0,0,1,3,2,3,4,0,0,28,14,30,2,0,-0.347493905,0.164805906,1.570333976,-0.418051858,13,0.843163224,-0.809777492,16.60617528,1.049971167,10.98106838,1.244871241,14.21895566,1.375019888,8/12/2020 16:14
4208768,PA,Bristol,Township,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,1,35,35,NA,NA,1,1,0.5,0,1,0,0,0,0,1,1,1,3,2,0,1,NA,NA,35,1,0.5,0.049086297,-0.882429958,1.080275435,-0.938630688,9,1.118033134,-0.496058486,11.08470143,0.700860776,10.3398831,1.17218313,4.131955434,0.638181599,8/12/2020 16:20
4210768,PA,California,Borough,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,45,30,NA,NA,2,2,0.5,0,0,1,0,0,0,0,3,2,3,3,0,0,NA,NA,45,2,0.5,0.842246699,0.164805906,1.399853587,-0.599149572,11,0.757077553,-0.908030193,8.333306029,0.526896224,7.392322004,0.838032216,6.845931711,0.662024165,8/12/2020 16:30
4211720,PA,Catasauqua,Borough,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,0,40,40,2,1,1,1,0.5,0,1,0,0,0,0,1,1,1,3,2,0,0,28,14,40,1,0.5,0.445666498,-0.882429958,1.080275435,-0.938630688,8,0.619355809,-1.065217019,9.128136669,0.577151581,7.676384066,0.870234974,6.292501161,0.823317909,8/12/2020 16:47
4212442,PA,ChaddsFord,Township,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,40,40,NA,NA,2,2,1,1,0,0,0,0,0,1,3,2,2,1,0,0,NA,NA,40,2,1,0.445666498,0.164805906,2.449996111,0.516394634,9,1.793863404,0.275291135,5.489470446,0.347086887,5.210895605,0.590734331,8.999992964,1.390051269,8/12/2020 17:37
