"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","08680","99999","AL","Boykin CDP, AL","99999",275,1 
"01","09016","99999","AL","Brantley town, AL","99999",809,1 
"01","09064","13820","AL","Brantleyville CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",884,1 
"01","09136","13820","AL","Brent city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",4947,1 
"01","09208","99999","AL","Brewton city, AL","99999",5408,1 
"01","09328","42460","AL","Bridgeport city, AL","Scottsboro, AL Micropolitan Statistical Area",2418,1 
"01","09400","13820","AL","Brighton city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2945,1 
"01","09424","99999","AL","Brilliant town, AL","99999",900,1 
"01","09457","23460","AL","Bristow Cove CDP, AL","Gadsden, AL Metropolitan Statistical Area",683,1 
"01","09500","13820","AL","Brook Highland CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",6746,1 
"01","09736","13820","AL","Brookside town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1363,1 
"01","09808","46220","AL","Brookwood town, AL","Tuscaloosa, AL Metropolitan Statistical Area",1828,1 
"01","09880","99999","AL","Broomtown CDP, AL","99999",182,1 
"01","10240","45980","AL","Brundidge city, AL","Troy, AL Micropolitan Statistical Area",2076,1 
"01","10456","33660","AL","Bucks CDP, AL","Mobile, AL Metropolitan Statistical Area",32,1 
"01","11032","99999","AL","Butler town, AL","99999",1894,1 
"01","11416","13820","AL","Calera city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",11620,1 
"01","11488","33660","AL","Calvert CDP, AL","Mobile, AL Metropolitan Statistical Area",109,0.394 
"01","11488","99999","AL","Calvert CDP, AL","99999",168,0.606 
"01","11512","99999","AL","Camden city, AL","99999",2020,1 
